tconst,primaryTitle,region,watchCount
tt0111161,"The Shawshank Redemption",CA,2896876
tt0111161,"The Shawshank Redemption",CA,2896876
tt0468569,"The Dark Knight",CA,2878253
tt0468569,"The Dark Knight",CA,2878253
tt1375666,Inception,CA,2557742
tt1375666,Inception,CA,2557742
tt0137523,"Fight Club",CA,2331118
tt0137523,"Fight Club",CA,2331118
tt0944947,"Game of Thrones",CA,2292613
tt0944947,"Game of Thrones",CA,2292613
tt0944947,"Game of Thrones",CA,2292613
tt0109830,"Forrest Gump",CA,2263778
tt0109830,"Forrest Gump",CA,2263778
tt0110912,"Pulp Fiction",CA,2226179
tt0110912,"Pulp Fiction",CA,2226179
tt0903747,"Breaking Bad",CA,2146306
tt0903747,"Breaking Bad",CA,2146306
tt0816692,Interstellar,CA,2109415
tt0816692,Interstellar,CA,2109415
tt0133093,"The Matrix",CA,2058804
