primaryTitle	averageRating	numVotes	tconst
The Hollywood Reporter's Official Live Golden Globes After-Show	10	2108	tt9892336
Hande Erçel x Emotion	10	556	tt32649982
DeFacto Kis Festivali	10	562	tt32622991
CUK Oturur Mükemmel Durur - DeFacto - White Jeans	10	581	tt32622979
CUK Oturur Mukemmel Durur - White Jeans (Long Version)	10	565	tt32622960
Tatilde CUK Oturur Mukemmel Durur	10	813	tt32560990
Inci Koleksiyonunu Kesfet!	10	800	tt32560930
Kadifeyi Kesfet	10	795	tt32560826
Prologue	10	623	tt23554516
Ozymandias	10	219531	tt2301451
Ice Hockey: Courtney	10	548	tt1577391
Victory and Death	9.9	18679	tt9313978
407 Proxy Authentication Required	9.9	34740	tt8084176
Dream: To See It to the End	9.9	741	tt6066926
The Magician Doesn't Come Back	9.9	906	tt4847476
The Winds of Winter	9.9	161546	tt4283094
Battle of the Bastards	9.9	226263	tt4283088
Evde	9.9	696	tt3911492
Episode #1.182	9.9	998	tt3692612
Hoy Maharaja	9.9	738	tt32324185
501. Bölüm	9.9	1668	tt32318899
158. Bölüm	9.9	1558	tt32316147
Cumartesi-Pazar Surpriz	9.9	1576	tt32315359
The Sign	9.9	3078	tt31491044
The Hashira Unite	9.9	12765	tt29452438
Somewhere in the Woods	9.9	1754	tt28014043
Felina	9.9	141472	tt2301455
The Rains of Castamere	9.9	119581	tt2178784
Connor's Wedding	9.9	36715	tt21151974
What, Do You Live in a Barn?	9.9	540	tt17498640
Face Off	9.9	75948	tt1683088
Equipe E	9.9	650	tt12774464
Plan and Execution	9.9	57426	tt12187040
Sozin's Comet, Part 4: Avatar Aang	9.9	17208	tt1204265
End of the Prologue	9.9	17615	tt11294360
The View from Halfway Down	9.9	22119	tt11028174
Everyone's Waiting	9.9	12522	tt0701989
Perfect Game	9.8	78274	tt9898836
Shattered	9.8	15403	tt9313968
The Phantom Apprentice	9.8	17055	tt9313966
Vichnaya Pamyat	9.8	63211	tt9166696
One For All	9.8	7988	tt8527962
Free Churro	9.8	18782	tt8266826
Loved Ones Will Always Watch Over You	9.8	5408	tt8142470
Time's Arrow	9.8	13906	tt6542628
A Regular Epic Final Battle	9.8	6628	tt6381882
Twilight of the Apprentice: Part 2	9.8	7439	tt5340582
The Ricklantis Mixup	9.8	36485	tt5218332
Take Back the Falls	9.8	6669	tt5153884
Return 0	9.8	11217	tt4679214
Not What He Seems	9.8	7323	tt4460256
If-Then-Else	9.8	13397	tt4128194
Hardhome	9.8	109215	tt3866850
This Person × and × This Moment	9.8	8104	tt3827236
Charlie Work	9.8	10504	tt3767938
Anger × and × Light	9.8	11284	tt3748420
Zero × and × Rose	9.8	11229	tt3673600
Parents	9.8	1748	tt32600065
Dirty Fellow	9.8	3255	tt32368060
Mizumono	9.8	21735	tt3230908
Hande Ercel'le Buyuk Bulusma Gerceklesti	9.8	2497	tt32085101
Hande Ercel Hakkinda Bilinmeyen 10 Sey	9.8	2515	tt32084946
Hande Erçel - L'Officiel Türkiye x DeFacto	9.8	2423	tt31989139
Nocturne x Hande Ercel'den sira disi bir Yaza Merhaba Partisi	9.8	2430	tt31989084
Hande Erçel ile Soru Cevap Elele	9.8	2597	tt31869162
Hande Erçel ile Soru - Cevap	9.8	2675	tt31869114
Monica, Oh my Daiyan	9.8	578	tt31067461
The Suit	9.8	541	tt30139449
Garanti	9.8	1576	tt29343648
Vanikoy	9.8	791	tt2932646
Feriye Sarayi	9.8	801	tt2932632
Finale	9.8	21960	tt2669746
Kiss of Death	9.8	3349	tt2308789
To'hajiilee	9.8	55874	tt2301449
Dual Confessions, Part 2/The Shuchiin Afterparty	9.8	2879	tt21034246
Remedial Chaos Theory	9.8	13841	tt2060963
Snatch Game	9.8	3405	tt19710854
Goodbye, Michael	9.8	18627	tt1833197
Episode #2.17	9.8	1073	tt17592094
Modern Warfare	9.8	14340	tt1595996
Epitome of the Instinctual Type	9.8	883	tt15094978
The Getaway	9.8	16608	tt1444421
Daichi no hate	9.8	1248	tt1371772
Re;	9.8	10782	tt1310121
