primaryTitle	averageRating	numVotes	tconst
Primary Title 17	9.2	7000	tt0000017
Primary Title 13	9.1	6000	tt0000013
Primary Title 7	9	5000	tt0000007
Primary Title 20	8.9	4500	tt0000020
Primary Title 12	8.7	3500	tt0000012
Primary Title 16	8.5	3200	tt0000016
Primary Title 6	8.4	3000	tt0000006
Primary Title 2	8.2	2500	tt0000002
Primary Title 10	7.8	1800	tt0000010
Primary Title 1	7.5	1500	tt0000001
Primary Title 19	7.3	1400	tt0000019
Primary Title 5	7.1	1200	tt0000005
Primary Title 15	6.9	1100	tt0000015
Primary Title 3	6.8	800	tt0000003
Primary Title 9	6.2	900	tt0000009
Primary Title 4	5.9	600	tt0000004
Primary Title 11	5.4	700	tt0000011
Primary Title 18	5.1	500	tt0000018
