primaryTitle	runtimeMinutes	averageRating	numVotes	genres	tconst
Bowling	23	9.2	1939	Comedy,Family	tt0640290
Merry Christmas, Mr. Bean	30	8.9	2766	Comedy,Family	tt0365495
El Chavo del Ocho	30	8.7	13038	Comedy,Family	tt0229889
The Carol Burnett Show	60	8.7	7384	Comedy,Family	tt0061240
Mr. Bean	25	8.6	134969	Comedy,Family	tt0096657
Do-It-Yourself Mr. Bean	24	8.9	1869	Comedy,Family	tt0651841
Graduation	23	9	1427	Comedy,Family	tt0776014
Mr. Bean	24	8.8	2477	Comedy,Family	tt0651846
The Honeymooners	30	8.6	6285	Comedy,Family	tt0042114
The Curse of Mr. Bean	24	8.8	2039	Comedy,Family	tt0651851
