primaryTitle	runtimeMinutes	averageRating	numVotes	genres	tconst
Finale	51	9.8	21960	Comedy	tt2669746
Goodbye, Michael	36	9.8	18627	Comedy	tt1833197
Modern Warfare	20	9.8	14340	Comedy	tt1595996
Remedial Chaos Theory	22	9.8	13841	Comedy	tt2060963
Charlie Work	23	9.8	10504	Comedy	tt3767938
Stress Relief	42	9.7	16937	Comedy	tt1248736
The Nightman Cometh	22	9.7	8273	Comedy	tt1319916
A Fistful of Paintballs	30	9.6	8570	Comedy	tt1640867
Friday Five Sharp	NULL	9.7	4489	Comedy	tt8560994
The Contest	23	9.5	9292	Comedy	tt0697679
